iter	Recall	CrossEntropy
133	0.4362099312	0.6610725316
134	0.4362099312	0.6610655342
135	0.4360765908	0.6610655187
136	0.4360765908	0.6610589248
137	0.4364766121	0.6610378155
138	0.4364232759	0.6610378102
139	0.4368499653	0.6609933503
140	0.4378100165	0.660974894
141	0.4376766761	0.6609712621
142	0.4373033228	0.6609447342
143	0.4371966505	0.660923358
144	0.4372499867	0.6609029161
145	0.4372233186	0.6608966384
146	0.4371966505	0.6608637343
147	0.4371699824	0.660863132
148	0.4385033868	0.6607700018
149	0.4385033868	0.6607426994
150	0.4384233826	0.660741288
151	0.4381300336	0.6607029958
152	0.4383167102	0.6606867835
153	0.4382900421	0.6606867796
154	0.4383433783	0.6606536259
155	0.438236706	0.6606499625
156	0.4382900421	0.660642673
157	0.4387433996	0.66061005
158	0.4390367486	0.6605845704
159	0.4390100805	0.6605845678
160	0.4389034082	0.6605660292
161	0.438850072	0.6605659303
162	0.4386633954	0.6605511156
163	0.4386100592	0.6605244176
164	0.4388234039	0.6605225451
165	0.4387967358	0.6605222248
166	0.438850072	0.6605146621
167	0.4389834124	0.6605063006
168	0.4389834124	0.6605063005
169	0.4389300763	0.6605061891
170	0.4389034082	0.6604781307
171	0.4389034082	0.6604775325
172	0.4397034509	0.6604192027
173	0.4403168169	0.660344427
174	0.4403168169	0.6603362455
175	0.4405034935	0.6603177305
176	0.4404768254	0.6602913406
177	0.4402901488	0.6602733768
178	0.4405034935	0.6602592557
179	0.4404501573	0.6602424349
180	0.4414102085	0.6601735175
181	0.4413568724	0.6601623008
182	0.4419435703	0.6601484694
183	0.4421302469	0.6601157245
184	0.4423702597	0.6600980659
185	0.4423702597	0.6600962329
186	0.4427702811	0.6600726887
187	0.4430902981	0.6600289937
188	0.4431703024	0.6600177373
189	0.4429836258	0.6599983749
190	0.4432503067	0.6599960501
191	0.4432769748	0.6599897572
192	0.4428236173	0.659985917
193	0.4429836258	0.6599804185
194	0.4434369833	0.6599652185
195	0.4434903195	0.6599651125
196	0.4441836898	0.6599272313
197	0.4446103792	0.6599111769
198	0.4450904048	0.6598914268
199	0.4451170729	0.6598847478
200	0.4450104006	0.6598831418
201	0.4445037069	0.6598703188
202	0.4445037069	0.6598703188
203	0.4446103792	0.6598654478
204	0.444850392	0.6598623059
205	0.4449837325	0.659858268
206	0.4448770601	0.6598440836
207	0.4449570644	0.659837132
208	0.4449570644	0.659837132
209	0.4449837325	0.6598309874
210	0.4449037282	0.6598294286
211	0.4449837325	0.6598195489
212	0.4449037282	0.6598186952
213	0.444850392	0.6598103007
214	0.4449037282	0.6598070841
215	0.4457837751	0.6597731371
216	0.4458371113	0.6597723802
217	0.4458904475	0.659752719
218	0.4458904475	0.6597515381
219	0.4458904475	0.6597514996
220	0.4460771241	0.6597377276
221	0.4458904475	0.6597265006
222	0.4461304603	0.6597131213
223	0.4461304603	0.6597131208
224	0.4461037922	0.6597111681
225	0.4461571284	0.6597086123
226	0.4459971198	0.6596600683
227	0.4459971198	0.6596600682
